model,accuracy,mcc-score,precision,recall,f1_score,auc-score
RandomForest,0.956140350877193,0.9104392740632483,0.956407502272164,0.956140350877193,0.9561990283018477,0.9760101010101009
XGBoost,0.956140350877193,0.9104392740632483,0.956407502272164,0.956140350877193,0.9561990283018477,0.9867424242424242
DecisionTree,0.9385964912280702,0.8738364680685226,0.9385602781166954,0.9385964912280702,0.9385041551246536,0.9356060606060607
LogisticRegression,0.9210526315789473,0.8406414965939838,0.9228954739790652,0.9210526315789473,0.9213308111716925,0.9671717171717172
KNN,0.9122807017543859,0.8200757575757576,0.9122807017543859,0.9122807017543859,0.9122807017543859,0.9589646464646465
GaussianNB,0.8421052631578947,0.686773437176115,0.8594427244582042,0.8421052631578947,0.8361967397611972,0.9532828282828283
